name,rating,reviews,info,category,composite_score,high_review_flag,address
Restaurant Musa Belleville - Paris 20,5.0,503,5.0(503),Tapas,11.22059017009974,True, · 82 Bd de Belleville
JJ Beaumarchais,4.9,989,4.9(989),French,11.796694331622714,True, · 92 Bd Beaumarchais
Chez baya,4.9,806,€10–20,Tunisian,11.592083742506627,True,156 Rue Oberkampf
Cellar,4.9,552,4.9(552),Restaurant,11.213548046277095,True,9 Rue de Crussol
Lanta Wok Menilmontant Paris,4.9,490,€10–20,Thai,11.094405391104672,True,97 Rue de Ménilmontant
BOMBOLÒ Cantine à Pizza - Cave à Vins Italiens,4.9,438,€20–30,Italian,10.982218910376446,True, · 90 Bd Voltaire
Comme Chez Toi,4.9,267,€10–20,Lebanese,10.487248658400253,True, · 337 Rue des Pyrénées
Delhi Bazaar,4.8,3994,€20–30,Indian,13.09254851397576,True, · 71 Rue Servan
avec amour - le burger Belleville,4.8,2985,€10–20,Hamburger,12.801355025826702,True, · 78 Rue de Belleville
Jolia,4.8,1390,€30–40,Mediterranean,12.037059026124735,True,123 Rue du Chemin Vert
Eunoé,4.8,728,4.8(728),Restaurant,11.390301048196688,True, · 6 Rue Rochebrune
L'insolite,4.8,482,€30–50,French,10.9779441140506,True, · 30 Rue de la Folie Méricourt
L'Acolyte de l'Insolite,4.8,461,€20–30,Restaurant,10.933398042996648,True, · 49 Rue de la Folie Méricourt
Wanobi,4.8,449,€10–20,Japanese,10.907022887742254,True,22 Rue de Bagnolet
La cantina,4.8,445,€20–30,Pizza,10.89807428216624,True,4 Bd de Ménilmontant
La réserve,4.8,409,€30–40,Tapas Bar,10.813715156042802,True, · 44 Rue Léon Frot
La P'tite Vadrouille,4.8,357,$$,Restaurant,10.67773578177964,True, · 49 Rue de la Chine
Les Artistes Gourmands,4.8,318,€20–30,Italian,10.562051382780176,True, · 83 Rue de la Roquette
Chez Chouette,4.8,304,€20–30,French,10.51702770140622,True, · 30 Ave Parmentier
Come a Casa,4.8,302,4.8(302),Italian,10.51042701737487,True,74-76 Bd de Ménilmontant
Lou Tiap,4.8,254,€30–40,Restaurant,10.337334267018536,True, · 81 Rue de Bagnolet
La Table de Yemma,4.7,3452,€10–20,Algerian Restaurant,12.84670905220332,True, · 115 Bd de Ménilmontant
Restaurant L'Ange 20,4.7,1348,€30–50,French,11.906377291472252,True, · 44 Rue des Tournelles
Le Jourdain,4.7,950,€20–40,Restaurant,11.556461984594588,True,101 Rue des Couronnes
Qui plume la lune,4.7,831,€100+,French,11.42262979485545,True, · 50 Rue Amelot
