Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Nomentano,Pane e Salame,4.8,6979,"4.8(6,979) · €10–20","Pane e Salame
4.8(6,979) · €10–20
Italian ·  · Via Santa Maria in Via, 19
Hole-in-the-wall spot for cheese & wine
Closed ⋅ Opens 12 PM",13.650660919017152,True
Nomentano,CiPASSO,4.8,3988,"4.8(3,988) · $$","CiPASSO
4.8(3,988) · $$
Restaurant ·  · Via Metastasio, 21
Refined bistro fare & wine in cozy space
Closed ⋅ Opens 12 PM",13.091045131081728,True
Nomentano,T. & C. Burger Lab,4.8,1020,"4.8(1,020) · €10–20","T. & C. Burger Lab
4.8(1,020) · €10–20
Hamburger · Via Urbana, 131
Closed ⋅ Opens 1 PM",11.727557906278317,True
Nomentano,Osteria Del Rione,4.8,889,4.8(889) · €10–20,"Osteria Del Rione
4.8(889) · €10–20
Roman ·  · Via Basento, 20
Closed ⋅ Opens 12:30 PM Mon",11.590097235513905,True
Nomentano,Greco Romano,4.8,865,4.8(865) · €30–40,"Greco Romano
4.8(865) · €30–40
Greek ·  · Via Guglielmo Calderini, 48/50
Closed ⋅ Opens 1 PM",11.562729506931879,True
Nomentano,STRADAROMANA Pizza & Grill,4.8,717,4.8(717) · €20–30,"STRADAROMANA Pizza & Grill
4.8(717) · €20–30
Roman ·  · Via Teodorico, 34
Closed ⋅ Opens 12 PM",11.37507584059962,True
Nomentano,Ristorante Mamma Orso,4.8,436,4.8(436) · €40–50,"Ristorante Mamma Orso
4.8(436) · €40–50
Italian ·  · Via Arezzo, 17
Closed ⋅ Opens 7 PM Mon",10.877642243349033,True
Nomentano,Il Ristorante di Porta Pia,4.8,435,4.8(435),"Il Ristorante di Porta Pia
4.8(435)
Italian ·  · Via Nomentana, 15
Closed ⋅ Opens 11 AM",10.875346031088684,True
Nomentano,Sinfonia Del Gusto Ristorante,4.8,254,4.8(254) · €30–40,"Sinfonia Del Gusto Ristorante
4.8(254) · €30–40
Italian ·  · Via Reggio Emilia, 17
Closed ⋅ Opens 12:30 PM",10.337334267018537,True
Nomentano,Tonnarello | Paglia,4.7,81118,"4.7(81,118) · €10–20","Tonnarello | Paglia
4.7(81,118) · €10–20
Roman ·  · V. della Paglia, 1/2/3
Roman pasta dishes & live guitar music
Closed ⋅ Opens 11:30 AM",16.00366016368873,True
Nomentano,Nannarella,4.7,33199,"4.7(33,199) · €20–30","Nannarella
4.7(33,199) · €20–30
Roman ·  · Piazza di S. Calisto, 7/a
Classic locale for pizza & wine
Closed ⋅ Opens 11:30 AM",15.110275033969021,True
Nomentano,Gandhi 2 Indian Restaurant,4.7,6032,"4.7(6,032) · €20–30","Gandhi 2 Indian Restaurant
4.7(6,032) · €20–30
Indian ·  · Via Genova, 29/A
Warm Indian venue with veggie options
Closed ⋅ Opens 12 PM",13.404833909687792,True
Nomentano,Trieste Pizza,4.7,4360,"4.7(4,360) · €10–20","Trieste Pizza
4.7(4,360) · €10–20
Pizza · Via Urbana, 112
Closed ⋅ Opens 11 AM",13.080227336343079,True
Nomentano,Borghiciana Pastificio Artigianale,4.7,4073,"4.7(4,073) · €10–20","Borghiciana Pastificio Artigianale
4.7(4,073) · €10–20
Restaurant ·  · Borgo Pio, 186
Closed ⋅ Opens 11:45 AM Mon",13.012135107648412,True
Nomentano,Pizza Zizza,4.7,3503,"4.7(3,503) · €10–20","Pizza Zizza
4.7(3,503) · €10–20
Pizza · Via delle Fornaci, 11
Classic nook for pizza slices & beer
Closed ⋅ Opens 11 AM",12.861375023197485,True
Nomentano,Ornelli Black Angus Steakhouse,4.7,2771,"4.7(2,771) · $$","Ornelli Black Angus Steakhouse
4.7(2,771) · $$
Steak ·  · Via Merulana, 224
Smart setting for steak & pasta
Closed ⋅ Opens 12 PM",12.626963544862978,True
Nomentano,La Prezzemolina,4.7,2607,"4.7(2,607) · €1–10","La Prezzemolina
4.7(2,607) · €1–10
Pizza · Via del Colosseo, 1 E/F
Unfussy pizzeria for Italian grub
Closed ⋅ Opens 11 AM",12.565955413933501,True
Nomentano,Alfredo e Ada,4.7,2317,"4.7(2,317) · €10–20","Alfredo e Ada
4.7(2,317) · €10–20
Restaurant ·  · Via dei Banchi Nuovi, 14
No-frills eatery for Roman home cooking
Closed ⋅ Opens 12 PM Tue",12.448028524432377,True
Nomentano,Mizio's Street Food,4.7,1933,"4.7(1,933) · €1–10","Mizio's Street Food
4.7(1,933) · €1–10
Sandwich · Via degli Zingari, 54 a
Closed ⋅ Opens 9 AM",12.266828479208332,True
Nomentano,La Salumeria,4.7,1607,"4.7(1,607) · €10–20","La Salumeria
4.7(1,607) · €10–20
Restaurant ·  · Via del Banco di Santo Spirito, 24
Closed ⋅ Opens 11 AM",12.082124365737513,True
