Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Trastevere,Mr.Clood Bistrot,4.9,529,4.9(529) · €20–30,"Mr.Clood Bistrot
4.9(529) · €20–30
Bistro · Via Luciano Manara, 13
Closed ⋅ Opens 12 PM Mon",11.1709884318583,True
Trastevere,Tonnarello Scala,4.8,12455,"4.8(12,455) · €10–20","Tonnarello Scala
4.8(12,455) · €10–20
Restaurant ·  · Piazza della Scala, 19/21
Closed ⋅ Opens 11 AM",14.22987742769628,True
Trastevere,Mimi e Coco Trast,4.8,4360,"4.8(4,360) · €20–30","Mimi e Coco Trast
4.8(4,360) · €20–30
Bistro ·  · Via della Scala, 1
Rustic eatery serving comfort food
Closed ⋅ Opens 10 AM",13.18022733634308,True
Trastevere,Angelo's,4.8,2627,"4.8(2,627) · €20–30","Angelo's
4.8(2,627) · €20–30
Restaurant ·  · Via di Porta Cavalleggeri, 45a
Comfy choice for traditional cuisine
Closed ⋅ Opens 12 PM",12.673597789685541,True
Trastevere,Alice Pizza Trastevere,4.8,2417,"4.8(2,417) · €1–10","Alice Pizza Trastevere
4.8(2,417) · €1–10
Pizza · Via di S. Francesco a Ripa, 1
Closed ⋅ Opens 11:30 AM",12.590282380703483,True
Trastevere,Sesamo Trastevere,4.8,809,4.8(809) · €10–20,"Sesamo Trastevere
4.8(809) · €10–20
Pizza ·  · Viale di Trastevere, 83
Closed ⋅ Opens 11:30 AM Mon",11.49579891705849,True
Trastevere,Sto Bene Roma,4.8,616,4.8(616) · €1–10,"Sto Bene Roma
4.8(616) · €1–10
Sandwich ·  · Piazza della Trinità dei Pellegrini, 88
Closed ⋅ Opens 9:30 AM Mon",11.22324696353352,True
Trastevere,Gusteria Al 17 Roma,4.8,579,4.8(579) · €1–10,"Gusteria Al 17 Roma
4.8(579) · €1–10
Pizza ·  · Via Natale del Grande, 17
Closed ⋅ Opens 11:30 AM",11.161302477572995,True
Trastevere,Rosina Cucina Di Casa,4.8,466,4.8(466) · €20–30,"Rosina Cucina Di Casa
4.8(466) · €20–30
Restaurant · Vicolo delle Grotte, 27
Closed ⋅ Opens 12 PM",10.944185634125645,True
Trastevere,Enoteca CUVERIE,4.8,312,4.8(312),"Enoteca CUVERIE
4.8(312)
Restaurant · Via Santa Cecilia, 1
Closed ⋅ Opens 12 PM Mon",10.543003187809482,True
