Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Parioli,InRome Cooking Classes,5.0,1335,"5.0(1,335)","InRome Cooking Classes
5.0(1,335)
Restaurant · Corso del Rinascimento, 65
Closed ⋅ Opens 9 AM",12.19668657083435,True
Parioli,PanDivino - Focacceria Taperia,4.9,1063,"4.9(1,063) · €1–10","PanDivino - Focacceria Taperia
4.9(1,063) · €1–10
Sandwich ·  · Via del Paradiso, 39
Snug locale for light bites & desserts
Closed ⋅ Opens 12 PM",11.868850378341948,True
Parioli,Taverna Boccaccio,4.8,903,4.8(903) · €20–30,"Taverna Boccaccio
4.8(903) · €20–30
Roman ·  · Via del Boccaccio, 24
Closed ⋅ Opens 12 PM Mon",11.605722553416985,True
Parioli,SUD Vino & Cucina,4.8,404,4.8(404) · €20–30,"SUD Vino & Cucina
4.8(404) · €20–30
Southern Italian · Via Pasquale Stanislao Mancini, 3
Closed ⋅ Opens 12 PM",10.80141487796115,True
Parioli,Mimì e Cocò,4.7,7253,"4.7(7,253) · €20–30","Mimì e Cocò
4.7(7,253) · €20–30
Bistro · Via del Governo Vecchio, 72
Cozy venue for Roman food & wines
Closed ⋅ Opens 10 AM",13.589170455363412,True
Parioli,Gandhi 2 Indian Restaurant,4.7,6032,"4.7(6,032) · €20–30","Gandhi 2 Indian Restaurant
4.7(6,032) · €20–30
Indian ·  · Via Genova, 29/A
Warm Indian venue with veggie options
Closed ⋅ Opens 12 PM",13.404833909687792,True
Parioli,Mariuccia,4.7,5511,"4.7(5,511) · €10–20","Mariuccia
4.7(5,511) · €10–20
Pizza ·  · P.za della Cancelleria, 92
Lasagne, cocktails & thin-crust pizza
Closed ⋅ Opens 11 AM",13.314501373883235,True
Parioli,Borghiciana Pastificio Artigianale,4.7,4073,"4.7(4,073) · €10–20","Borghiciana Pastificio Artigianale
4.7(4,073) · €10–20
Restaurant ·  · Borgo Pio, 186
Closed ⋅ Opens 11:45 AM Mon",13.012135107648412,True
Parioli,Pizza Zizza,4.7,3503,"4.7(3,503) · €10–20","Pizza Zizza
4.7(3,503) · €10–20
Pizza · Via delle Fornaci, 11
Classic nook for pizza slices & beer
Closed ⋅ Opens 11 AM",12.861375023197485,True
Parioli,Pinsere,4.7,3300,"4.7(3,300) · €1–10","Pinsere
4.7(3,300) · €1–10
Pizza · Via Flavia, 98
Casual stop for small pizzas & beer
Closed ⋅ Opens 10 AM Mon",12.801677747454573,True
Parioli,Alfredo e Ada,4.7,2317,"4.7(2,317) · €10–20","Alfredo e Ada
4.7(2,317) · €10–20
Restaurant ·  · Via dei Banchi Nuovi, 14
No-frills eatery for Roman home cooking
Closed ⋅ Opens 12 PM Tue",12.448028524432377,True
Parioli,Ristorante Virginiae - Cucina Tipica Romana,4.7,1779,"4.7(1,779) · €20–30","Ristorante Virginiae - Cucina Tipica Romana
4.7(1,779) · €20–30
Roman · Via di Parione, 41
Regional Italian classics & a terrace
Closed ⋅ Opens 12 PM",12.183806687665836,True
Parioli,La Salumeria,4.7,1607,"4.7(1,607) · €10–20","La Salumeria
4.7(1,607) · €10–20
Restaurant ·  · Via del Banco di Santo Spirito, 24
Closed ⋅ Opens 11 AM",12.082124365737513,True
Parioli,La Pace del Palato,4.7,502,4.7(502) · $$,"La Pace del Palato
4.7(502) · $$
Restaurant · Via del Teatro Pace, 42
Rustic space for creative Italian dining
Closed ⋅ Opens 1 PM",10.918600119691728,True
Parioli,Vico Pizza&Wine Roma,4.7,285,4.7(285) · €20–40,"Vico Pizza&Wine Roma
4.7(285) · €20–40
Pizza ·  · Piazza Rondanini, 47
Closed ⋅ Opens 12:30 PM",10.352489180268652,True
Parioli,Il sorriso Pizza e Kebab,4.7,275,4.7(275) · €1–10,"Il sorriso Pizza e Kebab
4.7(275) · €1–10
Pizza ·  · Via dei Gracchi, 193 A
Closed ⋅ Opens 11:30 AM",10.316771097666571,True
Parioli,Cantina e Cucina,4.6,14711,"4.6(14,711) · €20–30","Cantina e Cucina
4.6(14,711) · €20–30
Restaurant ·  · Via del Governo Vecchio, 87
Relaxed eatery for pizzas & local fare
Closed ⋅ Opens 11 AM",14.196350792250211,True
Parioli,Hostaria de' Pastini,4.6,6394,"4.6(6,394) · €10–20","Hostaria de' Pastini
4.6(6,394) · €10–20
Italian ·  · Via dei Pastini, 126/128
Closed ⋅ Opens 11:30 AM",13.363115329619786,True
Parioli,Mastrociccia - Osteria Pinseria,4.6,3544,"4.6(3,544) · €20–30","Mastrociccia - Osteria Pinseria
4.6(3,544) · €20–30
Restaurant ·  · Via del Governo Vecchio, 76
Old-school eatery with sidewalk seats
Closed ⋅ Opens 12 PM",12.773011311724972,True
Parioli,La Piccola Cuccagna - Ristorante,4.6,3198,"4.6(3,198) · €20–30","La Piccola Cuccagna - Ristorante
4.6(3,198) · €20–30
Restaurant ·  · Via della Cuccagna, 14
Old-school locale with a terrace
Closed ⋅ Opens 10 AM",12.6702808933939,True
Parioli,Ponte e Parione - Ristorante Piazza Navona,4.6,3197,"4.6(3,197) · €20–30","Ponte e Parione - Ristorante Piazza Navona
4.6(3,197) · €20–30
Restaurant ·  · Via di Santa Maria dell'Anima, 62
Classic venue for pizzas & Roman cuisine
Closed ⋅ Opens 12 PM",12.66996814905984,True
Parioli,cybo,4.6,2512,"4.6(2,512) · €10–30","cybo
4.6(2,512) · €10–30
Restaurant · Via di Tor Millina, 27
Refined set menus & a cocktail bar
Closed ⋅ Opens 10:30 AM",12.428834527588089,True
Parioli,Ristorante Agrodolce Roma,4.6,2506,"4.6(2,506) · €20–30","Ristorante Agrodolce Roma
4.6(2,506) · €20–30
Restaurant · Piazza dei Crociferi, 25
Closed ⋅ Opens 12 PM",12.426443135456013,True
Parioli,Osteria da Fortunata - Cancelleria,4.6,1724,"4.6(1,724) · €20–30","Osteria da Fortunata - Cancelleria
4.6(1,724) · €20–30
Restaurant · P.za della Cancelleria, 87
Closed ⋅ Opens 12 PM",12.052402451223639,True
Parioli,‪I Pizzicaroli‬,4.6,1236,"4.6(1,236) · €10–20","‪I Pizzicaroli‬
4.6(1,236) · €10–20
Restaurant ·  · Via della Fossa, 9
Cosy spot for local cheese & cured meats
Closed ⋅ Opens 12 PM",11.719635638017635,True
