Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Quartiere San Lorenzo,Il Gaudio Ristorante Roma San Lorenzo,4.9,309,4.9(309),"Il Gaudio Ristorante Roma San Lorenzo
4.9(309)
Restaurant ·  · Via dei Volsci, 59
Closed ⋅ Opens 12:30 PM",10.633341276897745,True
Quartiere San Lorenzo,Tonnarello Scala,4.8,12456,"4.8(12,456) · €10–20","Tonnarello Scala
4.8(12,456) · €10–20
Restaurant ·  · Piazza della Scala, 19/21
Closed ⋅ Opens 11 AM",14.229957713513834,True
Quartiere San Lorenzo,Pane e Salame,4.8,6979,"4.8(6,979) · €10–20","Pane e Salame
4.8(6,979) · €10–20
Italian ·  · Via Santa Maria in Via, 19
Hole-in-the-wall spot for cheese & wine
Closed ⋅ Opens 12 PM",13.650660919017152,True
Quartiere San Lorenzo,CiPASSO,4.8,3988,"4.8(3,988) · $$","CiPASSO
4.8(3,988) · $$
Restaurant ·  · Via Metastasio, 21
Refined bistro fare & wine in cozy space
Closed ⋅ Opens 12 PM",13.091045131081728,True
Quartiere San Lorenzo,Osteria Del Rione,4.8,889,4.8(889) · €10–20,"Osteria Del Rione
4.8(889) · €10–20
Roman ·  · Via Basento, 20
Closed ⋅ Opens 12:30 PM Mon",11.590097235513905,True
Quartiere San Lorenzo,Vox Populi,4.8,514,4.8(514) · €1–10,"Vox Populi
4.8(514) · €1–10
Sandwich ·  · Via degli Equi, 59/61
Closed ⋅ Opens 12 PM Mon",11.042223265455165,True
Quartiere San Lorenzo,Broccia Circolo Cibo,4.8,309,4.8(309) · €20–30,"Broccia Circolo Cibo
4.8(309) · €20–30
Restaurant ·  · Via degli Apuli, 43/44
Closed ⋅ Opens 7 AM Mon",10.533341276897746,True
Quartiere San Lorenzo,Gandhi 2 Indian Restaurant,4.7,6032,"4.7(6,032) · €20–30","Gandhi 2 Indian Restaurant
4.7(6,032) · €20–30
Indian ·  · Via Genova, 29/A
Warm Indian venue with veggie options
Closed ⋅ Opens 12 PM",13.404833909687792,True
Quartiere San Lorenzo,Sofitel Roma Villa Borghese,4.7,847,4.7(847),"Sofitel Roma Villa Borghese
4.7(847)
5-star hotel
Elegant escape with rooftop dining",11.441700694652056,True
Quartiere San Lorenzo,53 Untitled,4.7,544,4.7(544) · $$,"53 Untitled
4.7(544) · $$
Restaurant ·  · Via del Monte della Farina, 53
Closed ⋅ Opens 6 PM Tue",10.998949246855943,True
Quartiere San Lorenzo,Pizzeria Ennio&Osvaldo Roma (ANTICA ROMA),4.7,340,4.7(340) · €1–10,"Pizzeria Ennio&Osvaldo Roma (ANTICA ROMA)
4.7(340) · €1–10
Pizza Takeout · Via degli Ausoni, 25
Closed ⋅ Opens 8 AM Mon",10.528945617610209,True
Quartiere San Lorenzo,La locanda del tempio,4.6,6665,"4.6(6,665) · €20–30","La locanda del tempio
4.6(6,665) · €20–30
Roman ·  · Via di Pietra, 85
Closed ⋅ Opens 11 AM",13.404625232612808,True
Quartiere San Lorenzo,Saltimbocca ristorante,4.6,4923,"4.6(4,923) · €20–30","Saltimbocca ristorante
4.6(4,923) · €20–30
Restaurant ·  · Via di Tor Millina, 5
Classic Italian eats & outdoor tables
Closed ⋅ Opens 10 AM",13.1016733797582,True
Quartiere San Lorenzo,Ce Stamo A Pensà,4.6,3669,"4.6(3,669) · €10–20","Ce Stamo A Pensà
4.6(3,669) · €10–20
Southern Italian ·  · Via Leonina, 81
Snug stop for Southern Italian staples
Closed ⋅ Opens 11 AM",12.807674424355282,True
Quartiere San Lorenzo,Taverna dei migliori,4.6,3652,"4.6(3,652) · €20–30","Taverna dei migliori
4.6(3,652) · €20–30
Italian ·  · Viale Manzoni, 107
Cozy trattoria for Roman specialties
Closed ⋅ Opens 12 PM",12.80303024171486,True
Quartiere San Lorenzo,Mastrociccia - Osteria Pinseria,4.6,3544,"4.6(3,544) · €20–30","Mastrociccia - Osteria Pinseria
4.6(3,544) · €20–30
Restaurant ·  · Via del Governo Vecchio, 76
Old-school eatery with sidewalk seats
Closed ⋅ Opens 12 PM",12.773011311724972,True
Quartiere San Lorenzo,Poldo e Gianna Osteria,4.6,2887,"4.6(2,887) · €20–40","Poldo e Gianna Osteria
4.6(2,887) · €20–40
Roman · Vicolo Rosini, 6
Cozy restaurant for classic dishes
Closed ⋅ Opens 12:30 PM",12.567973179662935,True
Quartiere San Lorenzo,Rosemary terra e sapori,4.6,2078,"4.6(2,078) · €10–20","Rosemary terra e sapori
4.6(2,078) · €10–20
Italian ·  · Via Modena, 15
Closed ⋅ Opens 7:15 AM Mon",12.239161171659173,True
Quartiere San Lorenzo,Culinaria,4.6,1273,"4.6(1,273) · €20–40","Culinaria
4.6(1,273) · €20–40
Restaurant ·  · Via Gaeta, 81
Relaxed place for modern Italian cooking
Closed ⋅ Opens 12 PM Mon",11.749131598557407,True
Quartiere San Lorenzo,Bono Bottega Nostrana - Piazza Di Spagna,4.6,1207,"4.6(1,207) · €10–20","Bono Bottega Nostrana - Piazza Di Spagna
4.6(1,207) · €10–20
Sandwich ·  · Largo della Fontanella di Borghese, 85
Closed ⋅ Opens 9 AM",11.695893221097531,True
Quartiere San Lorenzo,Ristorante Feelsgood,4.6,1182,"4.6(1,182) · €10–20","Ristorante Feelsgood
4.6(1,182) · €10–20
Restaurant · Via Emanuele Filiberto, 162
Closed ⋅ Opens 12 PM",11.674963197966044,True
Quartiere San Lorenzo,Saltimbocca San Lorenzo,4.6,1131,"4.6(1,131) · €10–20","Saltimbocca San Lorenzo
4.6(1,131) · €10–20
Roman ·  · Via dei Falisci, 1/3,5
Closed ⋅ Opens 11 AM",11.63085747611612,True
Quartiere San Lorenzo,Pizzeria Il Grano,4.6,1002,"4.6(1,002) · €10–20","Pizzeria Il Grano
4.6(1,002) · €10–20
Pizza ·  · Via degli Equi, 39
Rustic pizzas in an intimate space
Closed ⋅ Opens 6:30 PM",11.509753281644809,True
Quartiere San Lorenzo,'O Famo Strano,4.6,701,4.6(701) · €1–10,"'O Famo Strano
4.6(701) · €1–10
Sandwich · Viale dello Scalo S. Lorenzo, 11
Closed ⋅ Opens 12 PM Mon",11.15250788703459,True
Quartiere San Lorenzo,Locanda Meloni Ritrovo di Quartiere,4.6,339,4.6(339) · €30–40,"Locanda Meloni Ritrovo di Quartiere
4.6(339) · €30–40
Restaurant ·  · Via Muzio Clementi, 13
Closed ⋅ Opens 12:30 PM",10.42600010738045,True
