Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Trieste,Pizzeria Italia dal 1987,4.8,1146,"4.8(1,146) · €1–10","Pizzeria Italia dal 1987
4.8(1,146) · €1–10
Pizza · Corso d'Italia, 103
Unpretentious nook for classic fare
Closed ⋅ Opens 9 AM Mon",11.844032897274685,True
Trieste,Osteria Del Rione,4.8,889,4.8(889) · €10–20,"Osteria Del Rione
4.8(889) · €10–20
Roman ·  · Via Basento, 20
Closed ⋅ Opens 12:30 PM Mon",11.590097235513905,True
Trieste,Breccia,4.8,834,4.8(834) · €20–30,"Breccia
4.8(834) · €20–30
Restaurant ·  · Via Nomentana, 57-59-61
Closed ⋅ Opens 12 PM",11.526233402358747,True
Trieste,STRADAROMANA Pizza & Grill,4.8,717,4.8(717) · €20–30,"STRADAROMANA Pizza & Grill
4.8(717) · €20–30
Roman ·  · Via Teodorico, 34
Closed ⋅ Opens 12 PM",11.37507584059962,True
Trieste,Ristorante Mamma Orso,4.8,436,4.8(436) · €40–50,"Ristorante Mamma Orso
4.8(436) · €40–50
Italian ·  · Via Arezzo, 17
Closed ⋅ Opens 7 PM Mon",10.877642243349033,True
Trieste,Al Cantuccio,4.8,296,4.8(296) · $$,"Al Cantuccio
4.8(296) · $$
Restaurant ·  · Via Tripoli, 71
Closed ⋅ Opens 8:30 PM Tue",10.49035945432406,True
Trieste,Sinfonia Del Gusto Ristorante,4.8,254,4.8(254) · €30–40,"Sinfonia Del Gusto Ristorante
4.8(254) · €30–40
Italian ·  · Via Reggio Emilia, 17
Closed ⋅ Opens 12:30 PM",10.337334267018537,True
Trieste,Trieste Pizza,4.7,4360,"4.7(4,360) · €10–20","Trieste Pizza
4.7(4,360) · €10–20
Pizza · Via Urbana, 112
Closed ⋅ Opens 11 AM",13.080227336343079,True
Trieste,Pinsere,4.7,3300,"4.7(3,300) · €1–10","Pinsere
4.7(3,300) · €1–10
Pizza · Via Flavia, 98
Casual stop for small pizzas & beer
Closed ⋅ Opens 10 AM Mon",12.801677747454573,True
Trieste,Suban,4.7,1628,"4.7(1,628) · €40–50","Suban
4.7(1,628) · €40–50
Diner ·  · Via Emilio Comici, 2
Closed ⋅ Opens 12 PM",12.095107546562485,True
Trieste,Osteria Marise,4.7,1326,"4.7(1,326) · €20–30","Osteria Marise
4.7(1,326) · €20–30
Restaurant · Via Felice Venezian, 11/f
Casual eatery offering traditional fare
Closed ⋅ Opens 12 PM Fri",11.889922170745809,True
Trieste,Buffet Clai,4.7,1034,"4.7(1,034) · €1–20","Buffet Clai
4.7(1,034) · €1–20
Buffet · Via Ugo Foscolo, 4
Closed ⋅ Opens 8:30 AM Tue",11.641190055068375,True
Trieste,Rustiko,4.7,870,4.7(870) · €20–30,"Rustiko
4.7(870) · €20–30
Restaurant · Via della Madonnina, 19a
Closed ⋅ Opens 12 PM",11.46849321164863,True
Trieste,Bracerie Venete,4.7,843,4.7(843) · $$$,"Bracerie Venete
4.7(843) · $$$
Restaurant ·  · Via della Madonnina, 5
Stylish venue serving beef dishes
Closed ⋅ Opens 7 PM Mon",11.436966958001856,True
Trieste,Ristorante Trieste Mood,4.7,429,4.7(429) · €20–30,"Ristorante Trieste Mood
4.7(429) · €20–30
Restaurant ·  · Via del Ponte, 6c
Closed ⋅ Opens 12 PM",10.761456918928017,True
Trieste,Little Tripoli,4.7,397,4.7(397) · €20–40,"Little Tripoli
4.7(397) · €20–40
Kosher ·  · Via Cremona, 42
Closed ⋅ Opens 12:30 PM",10.683936280687192,True
Trieste,Mirto Ristorante di Pesce,4.7,259,4.7(259) · €30–50,"Mirto Ristorante di Pesce
4.7(259) · €30–50
Seafood ·  · Via Tirso, 46/48
Closed ⋅ Opens 12:30 PM",10.256828061699537,True
Trieste,El Tiburon Trieste,4.7,256,4.7(256) · €30–40,"El Tiburon Trieste
4.7(256) · €30–40
Mexican ·  · Via Malta, 12
Closed ⋅ Opens 6 PM",10.245177444479562,True
Trieste,Arrecreate,4.6,1315,"4.6(1,315) · €20–30","Arrecreate
4.6(1,315) · €20–30
Pizza ·  · Via Sirte, 32
Closed ⋅ Opens 6:30 PM",11.781591944611865,True
Trieste,Trattoria Nerodiseppia,4.6,1094,"4.6(1,094) · $$","Trattoria Nerodiseppia
4.6(1,094) · $$
Seafood ·  · Via Luigi Cadorna, 23
Homey setting for pasta & seafood
Closed ⋅ Opens 12:30 PM Tue",11.597595982981925,True
Trieste,Alla Bella Trieste,4.6,965,4.6(965) · €20–30,"Alla Bella Trieste
4.6(965) · €20–30
Restaurant ·  · Via Massimo D'Azeglio, 19
Rustic stop for fish & regional cuisine
Closed ⋅ Opens 10 AM Mon",11.472128101338985,True
Trieste,Trattoria Mara,4.6,955,4.6(955) · €20–30,"Trattoria Mara
4.6(955) · €20–30
Restaurant · Via Vittoria Colonna, 5
Closed ⋅ Opens 7 PM Mon",11.46171134048073,True
Trieste,Hostaria G. Strehler,4.6,870,4.6(870) · €20–30,"Hostaria G. Strehler
4.6(870) · €20–30
Restaurant · Via Giorgio Strehler, 5
Casual kitchen for Italian classics
Closed ⋅ Opens 12 PM",11.36849321164863,True
Trieste,Hostaria ai 3 Magnoni,4.6,821,4.6(821) · €50–60,"Hostaria ai 3 Magnoni
4.6(821) · €50–60
Seafood ·  · Via dell'Eremo, 243
Closed ⋅ Opens 9:30 AM",11.310523109452427,True
Trieste,I Belcastro,4.6,814,4.6(814) · €20–30,"I Belcastro
4.6(814) · €20–30
Pizza ·  · Via Ajaccio, 47/49,51
Closed ⋅ Opens 7:15 PM",11.30196036600254,True
