Neighborhood,name,rating,reviews,info,category,composite_score,high_review_flag
Le Marais,JJ Beaumarchais,4.9,989,4.9(989),"JJ Beaumarchais
4.9(989)
French ·  · 92 Bd Beaumarchais
Creative cuisine in a relaxed restaurant
Closed ⋅ Opens 6:45 PM Tue",11.796694331622714,True
Le Marais,Bistrot Instinct,4.9,986,4.9(986),"Bistrot Instinct
4.9(986)
French ·  · 19 Rue de Picardie
Mellow spot for gourmet fare & aperitifs
Closed ⋅ Opens 12 PM Mon",11.793656354602636,True
Le Marais,Le Ju',4.8,12524,"4.8(12,524) · €10–30","Le Ju'
4.8(12,524) · €10–30
Brunch · 16 Rue des Archives
Chic stop for all-day dining
Open ⋅ Closes 2 AM",14.235402082446296,True
Le Marais,Nessia Marais,4.8,842,4.8(842),"Nessia Marais
4.8(842)
Restaurant ·  · 6 Rue Charles-François Dupuis
Closed ⋅ Opens 12 PM Tue",11.535780014242327,True
Le Marais,Voyage gourmand,4.8,299,4.8(299) · €10–20,"Voyage gourmand
4.8(299) · €10–20
Chinese · 50 Rue Rambuteau
Trendy Chinese snack shop with a terrace
Closed ⋅ Opens 11:30 AM",10.500443573390687,True
Le Marais,Pasta Linea,4.8,289,4.8(289) · €1–10,"Pasta Linea
4.8(289) · €1–10
Italian · 9 Rue de Turenne
Snug Italian hot spot with fresh pasta
Closed ⋅ Opens 11:30 AM Tue",10.466426688112431,True
Le Marais,Bouillon République,4.7,25312,"4.7(25,312) · €20–30","Bouillon République
4.7(25,312) · €20–30
Restaurant ·  · 39 Bd du Temple
Vintage eatery for traditional cuisine
Closed ⋅ Opens 12 PM",14.83903387056738,True
Le Marais,Salōn Marais,4.7,1403,"4.7(1,403) · €20–30","Salōn Marais
4.7(1,403) · €20–30
Mediterranean · 3 Rue du Roi Doré
Closed ⋅ Opens 12 PM",11.946368080102461,True
Le Marais,Restaurant L'Ange 20,4.7,1348,"4.7(1,348) · €30–50","Restaurant L'Ange 20
4.7(1,348) · €30–50
French ·  · 44 Rue des Tournelles
Cozy bistro with French wine
Closed ⋅ Opens 12 PM",11.906377291472253,True
Le Marais,Don Giovanni,4.7,940,4.7(940) · €20–30,"Don Giovanni
4.7(940) · €20–30
Italian · 19 Rue François Miron
Relaxed trattoria for classic cuisine
Closed ⋅ Opens 12 PM Mon",11.545879875264049,True
Le Marais,PNY MARAIS BRETONNERIE,4.7,902,4.7(902) · €20–30,"PNY MARAIS BRETONNERIE
4.7(902) · €20–30
Hamburger ·  · 10 Rue Sainte-Croix de la Bretonnerie
Closed ⋅ Opens 12 PM",11.504614520062624,True
Le Marais,Les petites bouchées,4.7,897,4.7(897) · €20–30,"Les petites bouchées
4.7(897) · €20–30
Restaurant · 4 Rue du Roi de Sicile
Sharing platters of international dishes
Closed ⋅ Opens 11:30 AM",11.499055862058796,True
Le Marais,Distrito Francés Marais,4.7,897,4.7(897) · €20–30,"Distrito Francés Marais
4.7(897) · €20–30
Mexican ·  · 25 Rue du Pont aux Choux
Closed ⋅ Opens 12 PM",11.499055862058796,True
Le Marais,A Modo Mio,4.7,896,4.7(896) · €20–30,"A Modo Mio
4.7(896) · €20–30
Restaurant ·  · 4 Rue de Turenne
Stylish spot for elevated Italian food
Closed ⋅ Opens 12 PM",11.49794041297493,True
Le Marais,La Vittoria,4.7,851,4.7(851) · €20–30,"La Vittoria
4.7(851) · €20–30
Pizza ·  · 173 Rue du Temple
Closed ⋅ Opens 12 PM",11.446412128573375,True
Le Marais,Korus restaurant,4.7,705,4.7(705) · €100+,"Korus restaurant
4.7(705) · €100+
French ·  · 73 Rue Amelot
Slick venue for creative modern cuisine
Closed ⋅ Opens 12 PM",11.25819780281227,True
Le Marais,Le Jackpot,4.7,684,4.7(684) · €20–40,"Le Jackpot
4.7(684) · €20–40
Modern European ·  · 10 Rue des Haudriettes
Drinks & seasonal fare in cozy surrounds
Closed ⋅ Opens 11:30 AM",11.22795791762255,True
Le Marais,Restaurant H,4.7,573,4.7(573) · €100+,"Restaurant H
4.7(573) · €100+
Restaurant · 13 Rue Jean Beausire
Avant-garde local fare in chic surrounds
Closed ⋅ Opens 7 PM Tue",11.05088571671474,True
Le Marais,Le Chanard,4.7,533,4.7(533) · $$,"Le Chanard
4.7(533) · $$
French ·  · 8 Rue Saint-Paul
Snug bistro for traditional French food
Closed ⋅ Opens 6:30 PM Mon",10.978521424165844,True
Le Marais,Restaurant Anne par Mathieu Pacaud,4.7,362,4.7(362) · €100+,"Restaurant Anne par Mathieu Pacaud
4.7(362) · €100+
Fine Dining ·  · 28 Pl. des Vosges
Closed ⋅ Opens 12:30 PM",10.591644211825772,True
Le Marais,BigLove,4.6,7657,"4.6(7,657) · €20–30","BigLove
4.6(7,657) · €20–30
Italian ·  · 30 Rue Debelleyme
Hip spot for pasta, pizza & brunch
Closed ⋅ Opens 11 AM",13.543375541113123,True
Le Marais,Au Bourguignon du Marais,4.6,3006,"4.6(3,006) · $$","Au Bourguignon du Marais
4.6(3,006) · $$
French ·  · 52 Rue François Miron
Recipes from Burgundy in a smart eatery
Closed ⋅ Opens 12 PM",12.60836557031292,True
Le Marais,Le Colimaçon,4.6,2046,"4.6(2,046) · $$","Le Colimaçon
4.6(2,046) · $$
French ·  · 44 Rue Vieille du Temple
Cozy spot for updated French cuisine
Closed ⋅ Opens 12:30 PM",12.22364194651157,True
Le Marais,Sacré Frenchy !,4.6,1495,"4.6(1,495) · $$","Sacré Frenchy !
4.6(1,495) · $$
Restaurant ·  · 58 Bd de Sébastopol
Cozy restaurant offering French classics
Closed ⋅ Opens 11 AM",11.909881485824787,True
Le Marais,L'Aller Retour Marais,4.6,1456,"4.6(1,456) · $$","L'Aller Retour Marais
4.6(1,456) · $$
Restaurant · 5 Rue Charles-François Dupuis
Chic steakhouse with extensive wine list
Closed ⋅ Opens 7 PM",11.883448228756631,True
